,Axie ID,Class,Axie Eyes Part ID,Axie Ears Part ID,Axie Horn Part ID,Axie Back Part ID,Axie Mouth Part ID,Axie Tail Part ID
0,11844610,Plant,Clear,Nimo,Sponge,Risky Fish,Oranda,Nimo
1,11844611,Plant,Clear,Nimo,Sponge,Risky Fish,Oranda,Nimo
2,11929092,Dawn,Sleepless,Nimo,Sandal,Piranha,Babylonia,Nimo
3,11928579,Dawn,Sleepless,Nimo,Sandal,Piranha,Babylonia,Nimo
4,11925510,Mech,Sleepless,Nimo,Sandal,Piranha,Babylonia,Nimo
5,11884551,Bird,Tricky,Innocent Lamb,Tri Feather,Hungry Bird,Feather Spear,Cloud
6,11844616,Plant,Clear,Nimo,Sponge,Lam,Oranda,Nimo
7,11947529,Dawn,Sleepless,Nimo,Sandal,Toothless Bite,Trump,Nimo
8,11934218,Bird,Mavis,Innocent Lamb,Tri Feather,Peace Maker,Wing Horn,Cloud
9,11894280,Bird,Kotaro?,Earwing,Tri Feather,Peace Maker,Wing Horn,Granma's Fan
10,12,,,,,,,
11,11920395,Mech,Chubby,Pink Cheek,Cupid,Axie Kiss,Dual Blade,Cottontail
12,11899402,Dawn,Gero,Nimo,Anemone,Risky Fish,Anemone,Nimo
13,11942927,Plant,Lucas,Innocent Lamb,Bidens,Silence Whisper,Rose Bud,Ant
14,11894287,Beast,Puppy,Nimo,Perch,Confident,Little Branch,Nimo
15,11936271,Mech,Sleepless,Nimo,Sandal,Square Teeth,Babylonia,Nimo
16,11921426,Aquatic,Tricky,Nimo,Spiky Wing,Silence Whisper,Unko,Nimo
17,11933713,Mech,Little Peas,Tiny Fan,Sandal,Piranha,Oranda,Nimo
18,11649554,Dawn,Robin,Earwing,Tri Feather,Axie Kiss,Wing Horn,Granma's Fan
19,11875352,Aquatic,Gero,Nimo,Sandal,Piranha,Shoal Star,Nimo
20,11933721,Aquatic,Sleepless,Nimo,Sandal,Square Teeth,Oranda,Nimo
21,11929119,Aquatic,Sleepless,Nimo,Sandal,Square Teeth,Babylonia,Nimo
22,11943967,Bird,Bookworm,Pink Cheek,Tri Feather,Toothless Bite,Wing Horn,Cloud
23,11925023,Beast,Puppy,Nimo,Perch,Confident,Imp,Nimo
24,11935264,Plant,Tricky,Innocent Lamb,Bidens,Silence Whisper,Rose Bud,Cattail
25,11896355,Dawn,Sleepless,Nimo,Sandal,Piranha,Babylonia,Nimo
26,11925029,Beast,Puppy,Innocent Lamb,Perch,Confident,Arco,Nimo
27,11670565,Bird,Little Owl,Owl,Tri Feather,Little Owl,Kestrel,Cloud
28,11888167,Mech,Sleepless,Nimo,Sandal,Square Teeth,Babylonia,Nimo
29,11911209,Reptile,Gecko,Friezard,Green Thorns,Tiny Turtle,Dual Blade,Cottontail
30,11858478,Mech,Kotaro?,Pink Cheek,Tri Feather,Little Owl,Wing Horn,Feather Fan
31,11919920,Aquatic,Gero,Nimo,Sponge,Square Teeth,Oranda,Ranchu
32,11915314,Aquatic,Sleepless,Nimo,Sandal,Square Teeth,Babylonia,Nimo
33,11937332,Aquatic,Sleepless,Seaslug,Anemone,Risky Fish,Babylonia,Nimo
34,11945012,Mech,Topaz,Earwing,Tri Feather,Kotaro,Feather Spear,Cloud
35,11636790,Dawn,Telescope,Nimo,Sponge,Risky Fish,Shoal Star,Nimo
36,11895354,Dawn,Puppy,Nimo,Buzz Buzz,Confident,Cactus,Nimo
37,11939899,Bird,Lucas,Early Bird,Tri Feather,Hungry Bird,Wing Horn,Cloud
38,11897404,Beast,Chubby,Earwing,Cupid,Hungry Bird,Arco,Gerbil
39,11939901,Bird,Lucas,Pink Cheek,Tri Feather,Hungry Bird,Wing Horn,Cloud
40,11943996,Bird,Lucas,Pink Cheek,Tri Feather,Hungry Bird,Wing Horn,Cloud
41,11934781,Dawn,Sleepless,Nimo,Sandal,Piranha,Trump,Nimo
42,11939392,Bird,Clear,Innocent Lamb,Tri Feather,Cute Bunny,Wing Horn,Cloud
43,11884098,Mech,Kotaro?,Earwing,Tri Feather,Hungry Bird,Wing Horn,Cottontail
44,11603447,Mech,Gecko,Tassels,Indian Star,Tiny Turtle,Scaly Spoon,Ant
45,11936838,Bird,Lucas,Pink Cheek,Tri Feather,Hungry Bird,Wing Horn,Cloud
46,11936841,Mech,Kotaro?,Earwing,Tri Feather,Hungry Bird,Wing Horn,Cloud
47,11939914,Mech,Lucas,Sidebarb,Tri Feather,Hungry Bird,Wing Horn,Cloud
48,11939913,Mech,Lucas,Earwing,Tri Feather,Kotaro,Trump,Cloud
49,11925068,Dawn,Nerdy,Nimo,Sandal,Zigzag,Oranda,Nimo
50,11910732,Mech,Sleepless,Nimo,Sandal,Square Teeth,Babylonia,Nimo
51,11926093,Beast,Chubby,Earwing,Cupid,Square Teeth,Arco,Gerbil
52,11940943,Bird,Robin,Pink Cheek,Cupid,Axie Kiss,Feather Spear,Cloud
53,11904589,Mech,Kotaro?,Earwing,Tri Feather,Kotaro,Wing Horn,Cottontail
54,11940433,Bird,Robin,Pink Cheek,Tri Feather,Kotaro,Wing Horn,Ant
55,11937363,Beast,Chubby,Earwing,Cupid,Square Teeth,Arco,Gerbil
56,11919955,Beast,Chubby,Earwing,Cupid,Hungry Bird,Arco,Ranchu
57,11912278,Mech,Sleepless,Nimo,Sandal,Piranha,Babylonia,Nimo
58,11920983,Beast,Little Peas,Zen,Tri Feather,Confident,Trump,Feather Fan
59,11933784,Bird,Kotaro?,Pink Cheek,Tri Feather,Kotaro,Wing Horn,Cloud
60,11936856,Aquatic,Sleepless,Nimo,Sandal,Square Teeth,Babylonia,Nimo
61,11939926,Mech,Lucas,Earwing,Tri Feather,Toothless Bite,Wing Horn,Cloud
62,11932763,Aquatic,Sleepless,Nimo,Sandal,Square Teeth,Oranda,Nimo
63,11945051,Bird,Gecko,Earwing,Tri Feather,Kotaro,Wing Horn,Cloud
64,11927643,Mech,Nerdy,Pink Cheek,Tri Feather,Confident,Wing Horn,Granma's Fan
65,11931742,Mech,Kotaro?,Earwing,Tri Feather,Piranha,Wing Horn,Cloud
66,11918938,Plant,Gecko,Nimo,Sponge,Tiny Turtle,Cactus,Nimo
67,11931744,Mech,Kotaro?,Innocent Lamb,Tri Feather,Kotaro,Wing Horn,Cloud
68,11931235,Mech,Puppy,Zen,Ronin,Confident,Imp,Shiba
69,11918950,Plant,Gecko,Nimo,Sponge,Toothless Bite,Cactus,Nimo
70,11636333,Bird,Kotaro?,Earwing,Tri Feather,Kotaro,Wing Horn,Granma's Fan
71,11934324,Aquatic,Sleepless,Nimo,Sandal,Square Teeth,Babylonia,Nimo
72,11675254,Plant,Scar,Pink Cheek,Tri Feather,Little Owl,Feather Spear,Feather Fan
73,11936378,Dawn,Sleepless,Seaslug,Anemone,Piranha,Anemone,Nimo
74,11895418,Dawn,Sleepless,Nimo,Sandal,Piranha,Babylonia,Nimo
75,11692670,Bird,Clear,Innocent Lamb,Tri Feather,Doubletalk,Wing Horn,Cloud
76,11915391,Aquatic,Sleepless,Nimo,Anemone,Lam,Anemone,Nimo
77,11913344,Plant,Clear,Nimo,Sponge,Piranha,Oranda,Nimo
78,11944063,Bird,Topaz,Earwing,Tri Feather,Kotaro,Wing Horn,Cloud
79,11944069,Bird,Clear,Earwing,Tri Feather,Kotaro,Wing Horn,Cloud
80,11895434,Dawn,Sleepless,Nimo,Sandal,Piranha,Trump,Nimo
81,11937419,Mech,Sleepless,Nimo,Sandal,Square Teeth,Babylonia,Nimo
82,11934350,Mech,Sleepless,Nimo,Sandal,Square Teeth,Babylonia,Nimo
83,11931280,Beast,Chubby,Innocent Lamb,Green Thorns,Square Teeth,Arco,Ant
84,11889808,Reptile,Gecko,Nimo,Sponge,Razor Bite,Cactus,Nimo
85,11923099,Dawn,Sleepless,Seaslug,Sandal,Square Teeth,Babylonia,Nimo
86,11701404,Mech,Tricky,Innocent Lamb,Red Ear,Nut Cracker,Leaf Bug,Ant
87,11926685,Beast,Little Peas,Zen,Ronin,Confident,Imp,Shiba
